#   ix    iy    iz      toten(eV)
    31    15     0     -20038.886551296633
     0    16     0     -20038.862229623552
     1    16     0     -20038.874490802082
     2    16     0     -20038.904301283885
     3    16     0     -20038.933496788359
     4    16     0     -20038.945240814490
     5    16     0     -20038.932751740602
     6    16     0     -20038.902518393857
     7    16     0     -20038.871105569575
     8    16     0     -20038.856345841559
     9    16     0     -20038.865338524432
    10    16     0     -20038.889129575480
    11    16     0     -20038.909089671521
    12    16     0     -20038.910091458707
    13    16     0     -20038.889918841738
    14    16     0     -20038.860037882445
    15    16     0     -20038.838422925950
    16    16     0     -20038.838431497541
    17    16     0     -20038.860038290619
    18    16     0     -20038.889916664830
    19    16     0     -20038.910088193337
    20    16     0     -20038.909092936887
    21    16     0     -20038.889135698042
    22    16     0     -20038.865346687846
    23    16     0     -20038.856348154528
    24    16     0     -20038.871092372050
    25    16     0     -20038.902497032919
    26    16     0     -20038.932755278081
    27    16     0     -20038.945238637578
    28    16     0     -20038.933510938277
    29    16     0     -20038.904312984781
    30    16     0     -20038.874502639032
    31    16     0     -20038.862232616804
     0    17     0     -20038.838336529800
     1    17     0     -20038.851711878538
     2    17     0     -20038.884555749624
     3    17     0     -20038.917152133152
     4    17     0     -20038.931028443512
     5    17     0     -20038.918499913114
     6    17     0     -20038.886005980454
     7    17     0     -20038.850862339063
     8    17     0     -20038.832095734422
     9    17     0     -20038.837982645720
    10    17     0     -20038.860405780390
    11    17     0     -20038.881393786545
    12    17     0     -20038.886419457471
    13    17     0     -20038.873197444889
    14    17     0     -20038.851279761726
    15    17     0     -20038.835105857968
    16    17     0     -20038.835116198294
    17    17     0     -20038.851268468999
    18    17     0     -20038.873202342940
    19    17     0     -20038.886414967590
    20    17     0     -20038.881381677475
    21    17     0     -20038.860398977544
    22    17     0     -20038.837978155843
    23    17     0     -20038.832088387349
    24    17     0     -20038.850880162521
    25    17     0     -20038.886008973710
    26    17     0     -20038.918499368883
    27    17     0     -20038.931030756481
    28    17     0     -20038.917149003842
    29    17     0     -20038.884556702022
    30    17     0     -20038.851710926141
    31    17     0     -20038.838328502443
     0    18     0     -20038.832562273641
     1    18     0     -20038.843964252650
     2    18     0     -20038.872489948852
     3    18     0     -20038.901137824178
     4    18     0     -20038.913860507815
     5    18     0     -20038.903721001072
     6    18     0     -20038.875749328694
     7    18     0     -20038.844320721808
     8    18     0     -20038.825488265615
     9    18     0     -20038.826769241619
    10    18     0     -20038.841861492776
    11    18     0     -20038.856625166442
    12    18     0     -20038.859943867108
    13    18     0     -20038.850342737638
    14    18     0     -20038.834917555174
    15    18     0     -20038.823735988397
    16    18     0     -20038.823733675428
    17    18     0     -20038.834901908631
    18    18     0     -20038.850326138698
    19    18     0     -20038.859946316130
    20    18     0     -20038.856624214044
    21    18     0     -20038.841858227410
    22    18     0     -20038.826768289222
    23    18     0     -20038.825485408419
    24    18     0     -20038.844317728555
    25    18     0     -20038.875745110927
    26    18     0     -20038.903727667861
    27    18     0     -20038.913868535175
    28    18     0     -20038.901147484219
    29    18     0     -20038.872498112265
    30    18     0     -20038.843991327976
    31    18     0     -20038.832551253028
     0    19     0     -20038.853650281639
     1    19     0     -20038.860271900368
     2    19     0     -20038.877801475388
     3    19     0     -20038.895774187833
     4    19     0     -20038.904236656843
     5    19     0     -20038.898573287079
     6    19     0     -20038.881230382169
     7    19     0     -20038.860380201688
     8    19     0     -20038.845580881105
     9    19     0     -20038.841457403691
    10    19     0     -20038.844415281372
    11    19     0     -20038.846646342932
    12    19     0     -20038.842825456133
    13    19     0     -20038.833326505421
    14    19     0     -20038.822649573802
    15    19     0     -20038.815779106946
    16    19     0     -20038.815766589709
    17    19     0     -20038.822633246968
    18    19     0     -20038.833319022291
    19    19     0     -20038.842802870680
    20    19     0     -20038.846625934391
    21    19     0     -20038.844414465035
    22    19     0     -20038.841445838851
    23    19     0     -20038.845592173831
    24    19     0     -20038.860391766524
    25    19     0     -20038.881220450014
    26    19     0     -20038.898587436997
    27    19     0     -20038.904248221679
    28    19     0     -20038.895777453199
    29    19     0     -20038.877806781606
    30    19     0     -20038.860261423983
    31    19     0     -20038.853628920700
     0    20     0     -20038.892839711938
     1    20     0     -20038.893017810460
     2    20     0     -20038.895761398478
     3    20     0     -20038.899206223923
     4    20     0     -20038.901682324013
     5    20     0     -20038.901899198761
     6    20     0     -20038.898849618705
     7    20     0     -20038.892577802348
