#   ix    iy    iz      toten(eV)
     7    11     0     -20041.127396572811
     8    11     0     -20041.152274174514
     9    11     0     -20041.161932039722
    10    11     0     -20041.159342604209
    11    11     0     -20041.152868471192
    12    11     0     -20041.151143677474
    13    11     0     -20041.157669784239
    14    11     0     -20041.168867813907
    15    11     0     -20041.177344296775
    16    11     0     -20041.177341439583
    17    11     0     -20041.168869990815
    18    11     0     -20041.157676178915
    19    11     0     -20041.151149936093
    20    11     0     -20041.152866702454
    21    11     0     -20041.159341787865
    22    11     0     -20041.161921019113
    23    11     0     -20041.152259072198
    24    11     0     -20041.127381470491
    25    11     0     -20041.092582325247
    26    11     0     -20041.060885822266
    27    11     0     -20041.046780119919
    28    11     0     -20041.056692819759
    29    11     0     -20041.083605561038
    30    11     0     -20041.110468641542
    31    11     0     -20041.120493996517
     0    12     0     -20041.105076977470
     1    12     0     -20041.099320952937
     2    12     0     -20041.082426627730
     3    12     0     -20041.065446994828
     4    12     0     -20041.059649881103
     5    12     0     -20041.069806531017
     6    12     0     -20041.091973334427
     7    12     0     -20041.117261828062
     8    12     0     -20041.137726967427
     9    12     0     -20041.149794264831
    10    12     0     -20041.154344280727
    11    12     0     -20041.155477090731
    12    12     0     -20041.158220678750
    13    12     0     -20041.165018899377
    14    12     0     -20041.173948179719
    15    12     0     -20041.180329521903
    16    12     0     -20041.180330474304
    17    12     0     -20041.173952941710
    18    12     0     -20041.165028559419
    19    12     0     -20041.158216324930
    20    12     0     -20041.155474777766
    21    12     0     -20041.154347137923
    22    12     0     -20041.149790999461
    23    12     0     -20041.137742477917
    24    12     0     -20041.117271079933
    25    12     0     -20041.091984899263
    26    12     0     -20041.069803673821
    27    12     0     -20041.059644438825
    28    12     0     -20041.065451620761
    29    12     0     -20041.082436015658
    30    12     0     -20041.099354558999
    31    12     0     -20041.105089494707
     0    13     0     -20041.097766094328
     1    13     0     -20041.097998071396
     2    13     0     -20041.095570271515
     3    13     0     -20041.092780696254
     4    13     0     -20041.092260550606
     5    13     0     -20041.095255843946
     6    13     0     -20041.101190783342
     7    13     0     -20041.109350661736
     8    13     0     -20041.119911264683
     9    13     0     -20041.132640751170
    10    13     0     -20041.145748884093
    11    13     0     -20041.157201612339
    12    13     0     -20041.166377836009
    13    13     0     -20041.173933621627
    14    13     0     -20041.180023938039
    15    13     0     -20041.183647678346
    16    13     0     -20041.183645229321
    17    13     0     -20041.180023257752
    18    13     0     -20041.173932124999
    19    13     0     -20041.166372257670
    20    13     0     -20041.157193584979
    21    13     0     -20041.145755686943
    22    13     0     -20041.132624696449
    23    13     0     -20041.119889359517
    24    13     0     -20041.109358008813
    25    13     0     -20041.101182075701
    26    13     0     -20041.095265095817
    27    13     0     -20041.092283816342
    28    13     0     -20041.092794301949
    29    13     0     -20041.095580067613
    30    13     0     -20041.098003105501
    31    13     0     -20041.097782965389
     0    14     0     -20041.089548799908
     1    14     0     -20041.096034905935
     2    14     0     -20041.109235557571
     3    14     0     -20041.121579594776
     4    14     0     -20041.126190428116
     5    14     0     -20041.120287870268
     6    14     0     -20041.106767212725
     7    14     0     -20041.093841532147
     8    14     0     -20041.091177945604
     9    14     0     -20041.103243202153
    10    14     0     -20041.125602117947
    11    14     0     -20041.148885132417
    12    14     0     -20041.165954290780
    13    14     0     -20041.175143711975
    14    14     0     -20041.178718879954
    15    14     0     -20041.179651278104
    16    14     0     -20041.179653591073
    17    14     0     -20041.178719560241
    18    14     0     -20041.175146569167
    19    14     0     -20041.165961773910
    20    14     0     -20041.148904180387
    21    14     0     -20041.125616812093
    22    14     0     -20041.103246059345
    23    14     0     -20041.091173183609
    24    14     0     -20041.093836906210
    25    14     0     -20041.106770750208
    26    14     0     -20041.120290455350
    27    14     0     -20041.126190972343
    28    14     0     -20041.121585173110
    29    14     0     -20041.109249707493
    30    14     0     -20041.096041436667
    31    14     0     -20041.089576147355
     0    15     0     -20041.069262847523
     1    15     0     -20041.080979118040
     2    15     0     -20041.107856348463
     3    15     0     -20041.133377635506
     4    15     0     -20041.142071401300
     5    15     0     -20041.127432355785
     6    15     0     -20041.095148222914
     7    15     0     -20041.061451410926
     8    15     0     -20041.045228662733
     9    15     0     -20041.055887362727
    10    15     0     -20041.086730244522
    11    15     0     -20041.121274555135
    12    15     0     -20041.145872559842
    13    15     0     -20041.156703643966
    14    15     0     -20041.158042580228
    15    15     0     -20041.156545137645
    16    15     0     -20041.156542280449
    17    15     0     -20041.158041083603
    18    15     0     -20041.156695888723
    19    15     0     -20041.145865620940
    20    15     0     -20041.121265847491
    21    15     0     -20041.086717183054
    22    15     0     -20041.055901240532
    23    15     0     -20041.045236145863
    24    15     0     -20041.061460390683
    25    15     0     -20041.095169992022
    26    15     0     -20041.127435893264
    27    15     0     -20041.142071537357
    28    15     0     -20041.133378043680
    29    15     0     -20041.107866552735
    30    15     0     -20041.080994356416
    31    15     0     -20041.069271146993
     0    16     0     -20041.036315981339
     1    16     0     -20041.051198296645
     2    16     0     -20041.087195831344
     3    16     0     -20041.121482178012
     4    16     0     -20041.132561429979
     5    16     0     -20041.111142395464
     6    16     0     -20041.064628748441
     7    16     0     -20041.014785380139
     8    16     0     -20040.987367867645
     9    16     0     -20040.995707341190
    10    16     0     -20041.031407047256
    11    16     0     -20041.072501546711
    12    16     0     -20041.100484783929
    13    16     0     -20041.110369728154
    14    16     0     -20041.108435406761
    15    16     0     -20041.104290296294
    16    16     0     -20041.104301452960
    17    16     0     -20041.108437447616
    18    16     0     -20041.110379388196
    19    16     0     -20041.100491858888
