#   ix    iy    iz      toten(eV)
     7     1     1     -15341.688685444478
     8     1     1     -15341.690970248523
     9     1     1     -15341.691010113205
    10     1     1     -15341.688686805046
    11     1     1     -15341.685381846130
    12     1     1     -15341.683127654893
    13     1     1     -15341.683426027743
    14     1     1     -15341.685999816713
    15     1     1     -15341.689251305253
    16     1     1     -15341.691196103027
    17     1     1     -15341.690665344940
     0     2     1     -15341.691117462124
     1     2     1     -15341.691539510723
     2     2     1     -15341.689967781052
     3     2     1     -15341.687201879698
     4     2     1     -15341.684943878869
     5     2     1     -15341.684753807334
     6     2     1     -15341.686644998677
     7     2     1     -15341.689368858442
     8     2     1     -15341.691275424222
     9     2     1     -15341.691319370610
    10     2     1     -15341.689397158285
    11     2     1     -15341.686587854769
    12     2     1     -15341.684571763160
    13     2     1     -15341.685020751034
    14     2     1     -15341.687172083230
    15     2     1     -15341.689881248847
    16     2     1     -15341.691501142668
    17     2     1     -15341.691097325698
     0     3     1     -15341.689370627182
     1     3     1     -15341.689626278157
     2     3     1     -15341.688666396509
     3     3     1     -15341.686964596411
     4     3     1     -15341.685571645548
     5     3     1     -15341.685424159836
     6     3     1     -15341.686632617499
     7     3     1     -15341.688343941580
     8     3     1     -15341.689514031188
     9     3     1     -15341.689543147373
    10     3     1     -15341.688319315275
    11     3     1     -15341.686654658721
    12     3     1     -15341.685435724676
    13     3     1     -15341.685600897788
    14     3     1     -15341.686961603160
    15     3     1     -15341.688647348536
    16     3     1     -15341.689620835878
    17     3     1     -15341.689340150431
     0     4     1     -15341.686018728627
     1     4     1     -15341.686013830576
     2     4     1     -15341.685929611336
     3     4     1     -15341.685682668005
     4     4     1     -15341.685400213815
     5     4     1     -15341.685292864897
     6     4     1     -15341.685536270747
     7     4     1     -15341.685879542385
     8     4     1     -15341.686004034476
     9     4     1     -15341.685972605326
    10     4     1     -15341.685802806274
    11     4     1     -15341.685485113339
    12     4     1     -15341.685306334533
    13     4     1     -15341.685313817665
    14     4     1     -15341.685597224254
    15     4     1     -15341.685904576860
    16     4     1     -15341.686019953138
    17     4     1     -15341.685938999264
     0     5     1     -15341.682846289161
     1     5     1     -15341.682626965387
     2     5     1     -15341.683389700542
     3     5     1     -15341.684679656308
     4     5     1     -15341.685603618926
     5     5     1     -15341.685719539435
     6     5     1     -15341.684890680608
     7     5     1     -15341.683664263432
     8     5     1     -15341.682752954104
     9     5     1     -15341.682691456372
    10     5     1     -15341.683627936231
    11     5     1     -15341.684909048294
    12     5     1     -15341.685676545443
    13     5     1     -15341.685589605066
    14     5     1     -15341.684661560736
    15     5     1     -15341.683409156685
    16     5     1     -15341.682660027222
    17     5     1     -15341.682795948094
     0     6     1     -15341.681429256219
     1     6     1     -15341.680950607937
     2     6     1     -15341.682484377721
     3     6     1     -15341.685017213555
     4     6     1     -15341.686927452869
     5     6     1     -15341.687140109852
     6     6     1     -15341.685467561996
     7     6     1     -15341.682997448410
     8     6     1     -15341.681125985322
     9     6     1     -15341.681033738721
    10     6     1     -15341.682957311616
    11     6     1     -15341.685501304117
    12     6     1     -15341.687154531886
    13     6     1     -15341.686817654927
    14     6     1     -15341.684974355619
    15     6     1     -15341.682494445937
    16     6     1     -15341.680924621061
    17     6     1     -15341.681379187270
     0     7     1     -15341.682121649943
     1     7     1     -15341.681560687217
     2     7     1     -15341.683515281089
     3     7     1     -15341.686797790615
     4     7     1     -15341.689322326973
     5     7     1     -15341.689476343417
     6     7     1     -15341.687365692243
     7     7     1     -15341.684150530902
     8     7     1     -15341.681826542461
     9     7     1     -15341.681767901922
    10     7     1     -15341.684136789152
    11     7     1     -15341.687391134890
    12     7     1     -15341.689504779319
    13     7     1     -15341.689227087119
    14     7     1     -15341.686713163201
    15     7     1     -15341.683551744347
    16     7     1     -15341.681583952952
    17     7     1     -15341.682064642087
     0     8     1     -15341.683909982248
     1     8     1     -15341.683340311876
     2     8     1     -15341.685372594260
     3     8     1     -15341.688628844793
     4     8     1     -15341.691134605297
     5     8     1     -15341.691145217736
     6     8     1     -15341.689081642260
     7     8     1     -15341.685906345600
     8     8     1     -15341.683580860532
     9     8     1     -15341.683496233120
    10     8     1     -15341.685877365473
    11     8     1     -15341.689201508418
    12     8     1     -15341.691319098496
    13     8     1     -15341.691053787479
    14     8     1     -15341.688444215539
    15     8     1     -15341.685312184980
    16     8     1     -15341.683368747777
    17     8     1     -15341.683841817727
     0     9     1     -15341.685372594260
     1     9     1     -15341.684966328263
     2     9     1     -15341.686522411383
     3     9     1     -15341.689143548165
     4     9     1     -15341.691246308037
     5     9     1     -15341.691385766391
     6     9     1     -15341.689627774782
     7     9     1     -15341.687068679965
     8     9     1     -15341.685106739016
     9     9     1     -15341.685112453404
    10     9     1     -15341.687021196092
    11     9     1     -15341.689680836984
    12     9     1     -15341.691411072979
    13     9     1     -15341.691147530704
    14     9     1     -15341.689139330399
    15     9     1     -15341.686533976224
    16     9     1     -15341.684944831266
    17     9     1     -15341.685362253931
     0    10     1     -15341.685696137642
     1    10     1     -15341.685434364106
     2    10     1     -15341.686338326357
     3    10     1     -15341.687855905368
     4    10     1     -15341.689017287332
     5    10     1     -15341.689136881376
     6    10     1     -15341.688051691292
     7    10     1     -15341.686567174114
     8    10     1     -15341.685511916556
     9    10     1     -15341.685534093836
    10    10     1     -15341.686582004320
    11    10     1     -15341.688099719388
    12    10     1     -15341.689050893394
    13    10     1     -15341.688930483009
    14    10     1     -15341.687769101045
    15    10     1     -15341.686230161094
    16    10     1     -15341.685392050400
    17    10     1     -15341.685596680025
     0    11     1     -15341.685435180449
     1    11     1     -15341.685445928942
     2    11     1     -15341.685407969062
     3    11     1     -15341.685448514025
     4    11     1     -15341.685480759517
     5    11     1     -15341.685491780130
     6    11     1     -15341.685472051877
     7    11     1     -15341.685455316871
     8    11     1     -15341.685453956305
     9    11     1     -15341.685435860732
    10    11     1     -15341.685456405328
    11    11     1     -15341.685470283137
    12    11     1     -15341.685489875335
    13    11     1     -15341.685493412815
    14    11     1     -15341.685463208174
    15    11     1     -15341.685424295891
    16    11     1     -15341.685431779024
    17    11     1     -15341.685418853616
     0    12     1     -15341.685666341173
     1    12     1     -15341.685933556984
     2    12     1     -15341.685004016033
     3    12     1     -15341.683576234596
     4    12     1     -15341.682396757060
     5    12     1     -15341.682268047203
     6    12     1     -15341.683222078404
     7    12     1     -15341.684704146557
     8    12     1     -15341.685774778549
     9    12     1     -15341.685835323884
    10    12     1     -15341.684723194527
    11    12     1     -15341.683288474185
    12    12     1     -15341.682294306191
    13    12     1     -15341.682425873241
    14    12     1     -15341.683552968860
    15    12     1     -15341.684961974441
    16    12     1     -15341.685889066368
    17    12     1     -15341.685719267320
     0    13     1     -15341.687190042747
     1    13     1     -15341.687637942165
     2    13     1     -15341.686050838060
     3    13     1     -15341.683351060374
     4    13     1     -15341.681276192172
     5    13     1     -15341.681086528812
     6    13     1     -15341.682849554527
     7    13     1     -15341.685508379076
     8    13     1     -15341.687439843274
     9    13     1     -15341.687489367994
    10    13     1     -15341.685552325465
    11    13     1     -15341.682819621999
    12    13     1     -15341.681080678363
    13    13     1     -15341.681324900555
    14    13     1     -15341.683317590370
    15    13     1     -15341.686019136796
    16    13     1     -15341.687636173425
    17    13     1     -15341.687199158561
     0    14     1     -15341.689432124915
     1    14     1     -15341.689943018693
     2    14     1     -15341.688039718281
     3    14     1     -15341.684735711766
     4    14     1     -15341.682126547994
     5    14     1     -15341.681981647362
     6    14     1     -15341.684119782036
     7    14     1     -15341.687405012699
     8    14     1     -15341.689630768034
     9    14     1     -15341.689765872568
    10    14     1     -15341.687427326035
    11    14     1     -15341.684074339022
    12    14     1     -15341.681975660857
    13    14     1     -15341.682182603450
    14    14     1     -15341.684627546503
    15    14     1     -15341.687953458186
    16    14     1     -15341.689932406251
    17    14     1     -15341.689415117798
     0    15     1     -15341.691084264232
     1    15     1     -15341.691607131017
     2    15     1     -15341.689735259757
     3    15     1     -15341.686550439112
     4    15     1     -15341.684031617146
     5    15     1     -15341.683768619097
     6    15     1     -15341.685975734636
     7    15     1     -15341.689140963083
     8    15     1     -15341.691406310987
     9    15     1     -15341.691447672294
    10    15     1     -15341.689176065771
    11    15     1     -15341.685954645809
    12    15     1     -15341.683806034751
    13    15     1     -15341.684105360002
    14    15     1     -15341.686591800421
    15    15     1     -15341.689726007888
    16    15     1     -15341.691583048942
    17    15     1     -15341.691138823062
     0    16     1     -15341.690782898129
     1    16     1     -15341.691183857907
     2    16     1     -15341.689793628182
     3    16     1     -15341.687266778856
     4    16     1     -15341.685259530948
     5    16     1     -15341.685159937277
     6    16     1     -15341.686826226512
     7    16     1     -15341.689314843839
     8    16     1     -15341.691015011253
     9    16     1     -15341.690982085476
    10    16     1     -15341.689294027130
    11    16     1     -15341.686793844961
    12    16     1     -15341.685143066215
    13    16     1     -15341.685428377599
    14    16     1     -15341.687346780329
    15    16     1     -15341.689631720436
