#   ix    iy    iz      toten(eV)
     5    10     0     -20040.003405365504
     6    10     0     -20040.035478065900
     7    10     0     -20040.056701994774
     8    10     0     -20040.043308958633
     9    10     0     -20039.985850347839
    10    10     0     -20039.895024727051
    11    10     0     -20039.797781436879
    12    10     0     -20039.720713620867
    13    10     0     -20039.671820202060
    14    10     0     -20039.642761298746
    15    10     0     -20039.627289312699
    16    10     0     -20039.627276795458
    17    10     0     -20039.642793680294
    18    10     0     -20039.671866597473
    19    10     0     -20039.720717294407
    20    10     0     -20039.797806335300
    21    10     0     -20039.895039557257
    22    10     0     -20039.985851708403
    23    10     0     -20040.043321747988
    24    10     0     -20040.056708525510
    25    10     0     -20040.035488814399
    26    10     0     -20040.003418563025
    27    10     0     -20039.986244504766
    28    10     0     -20039.997438180613
    29    10     0     -20040.030671990862
    30    10     0     -20040.066037677167
    31    10     0     -20040.083924673745
     0    11     0     -20040.067691177053
     1    11     0     -20040.050345278891
     2    11     0     -20040.016278664163
     3    11     0     -20039.983918475471
     4    11     0     -20039.972060977856
     5    11     0     -20039.986524918102
     6    11     0     -20040.014952381200
     7    11     0     -20040.032977203449
     8    11     0     -20040.017714881131
     9    11     0     -20039.958204667866
    10    11     0     -20039.859264747760
    11    11     0     -20039.736352412714
    12    11     0     -20039.603037572877
    13    11     0     -20039.464432703495
    14    11     0     -20039.332674218891
    15    11     0     -20039.245906087912
    16    11     0     -20039.245952891495
    17    11     0     -20039.332722110932
    18    11     0     -20039.464419914144
    19    11     0     -20039.603067369342
    20    11     0     -20039.736365610235
    21    11     0     -20039.859277537111
    22    11     0     -20039.958221130753
    23    11     0     -20040.017718826781
    24    11     0     -20040.032980740929
    25    11     0     -20040.014948163436
    26    11     0     -20039.986532945459
    27    11     0     -20039.972077168630
    28    11     0     -20039.983938339781
    29    11     0     -20040.016275534854
    30    11     0     -20040.050361741778
    31    11     0     -20040.067702197663
     0    12     0     -20040.058108687386
     1    12     0     -20040.044712113766
     2    12     0     -20040.019056538527
     3    12     0     -20039.994663571615
     4    12     0     -20039.985062170032
     5    12     0     -20039.994450370403
     6    12     0     -20040.013815761598
     7    12     0     -20040.025334205337
     8    12     0     -20040.011415309160
     9    12     0     -20039.961026216504
    10    12     0     -20039.869382213281
    11    12     0     -20039.731845798979
    12    12     0     -20039.539006323845
    13    12     0     -20039.288671094364
    14    12     0     -20039.021516507048
    15    12     0     -20038.838685651888
    16    12     0     -20038.838707284940
    17    12     0     -20039.021506030665
    18    12     0     -20039.288680074122
    19    12     0     -20039.539064964378
    20    12     0     -20039.731865799349
    21    12     0     -20039.869383165678
    22    12     0     -20039.961054788462
    23    12     0     -20040.011444289285
    24    12     0     -20040.025354885991
    25    12     0     -20040.013826101924
    26    12     0     -20039.994440710361
    27    12     0     -20039.985056591700
    28    12     0     -20039.994667925435
    29    12     0     -20040.019068103371
    30    12     0     -20040.044715379132
    31    12     0     -20040.058109367670
     0    13     0     -20040.057800246326
     1    13     0     -20040.050710047522
     2    13     0     -20040.038555809741
     3    13     0     -20040.027162674436
     4    13     0     -20040.022510479783
     5    13     0     -20040.026336400690
     6    13     0     -20040.034184436598
     7    13     0     -20040.037412795464
     8    13     0     -20040.026751782501
     9    13     0     -20039.992300943002
    10    13     0     -20039.919253881420
    11    13     0     -20039.782424963163
    12    13     0     -20039.550122311182
    13    13     0     -20039.213226845714
    14    13     0     -20038.836976776831
    15    13     0     -20038.575756856797
    16    13     0     -20038.575759033709
    17    13     0     -20038.837008614155
    18    13     0     -20039.213245485513
    19    13     0     -20039.550145304805
    20    13     0     -20039.782415711295
    21    13     0     -20039.919249391543
    22    13     0     -20039.992322712111
    23    13     0     -20040.026741306119
    24    13     0     -20040.037435925140
    25    13     0     -20040.034183212087
    26    13     0     -20040.026359802483
    27    13     0     -20040.022518371086
    28    13     0     -20040.027174375333
    29    13     0     -20040.038567238527
    30    13     0     -20040.050719299394
    31    13     0     -20040.057825008684
     0    14     0     -20040.059033602407
     1    14     0     -20040.058777951432
     2    14     0     -20040.061512967863
     3    14     0     -20040.064887996097
     4    14     0     -20040.066850889445
     5    14     0     -20040.066360132096
     6    14     0     -20040.063289191101
     7    14     0     -20040.058114129664
     8    14     0     -20040.050098199503
     9    14     0     -20040.031601395760
    10    14     0     -20039.981306454501
    11    14     0     -20039.861628328770
    12    14     0     -20039.630231271720
    13    14     0     -20039.276569102447
    14    14     0     -20038.875744838817
    15    14     0     -20038.596849762846
    16    14     0     -20038.596905274077
    17    14     0     -20038.875753274344
    18    14     0     -20039.276565020740
    19    14     0     -20039.630256578308
    20    14     0     -20039.861626151858
    21    14     0     -20039.981300468000
    22    14     0     -20040.031616089909
    23    14     0     -20040.050096158648
    24    14     0     -20040.058161069304
    25    14     0     -20040.063301708338
    26    14     0     -20040.066356458556
    27    14     0     -20040.066849256764
    28    14     0     -20040.064888676381
    29    14     0     -20040.061524668759
    30    14     0     -20040.058784346107
